,APN,Status,DiscoveryDate,TRPA_Boundary
15689,1318-22-310-008,Old APN,2023-10-19,1.0
15690,1318-22-310-009,Old APN,2023-10-19,1.0
15691,1318-22-310-010,Old APN,2023-10-19,1.0
15699,1318-22-310-012,Old APN,2023-10-19,1.0
15700,1318-22-310-013,Old APN,2023-10-19,1.0
57640,117-071-015,Old APN,2023-10-19,1.0
58102,117-071-044,Old APN,2023-10-19,1.0
61143,1318-22-710-011,Old APN,2023-10-19,1.0
61238,1318-22-313-001,New APN,2023-10-19,1.0
61239,1318-22-313-005,New APN,2023-10-19,1.0
61240,1318-22-314-001,New APN,2023-10-19,1.0
61241,1318-22-314-004,New APN,2023-10-19,1.0
61242,1318-22-314-005,New APN,2023-10-19,1.0
61243,1318-22-314-008,New APN,2023-10-19,1.0
61244,1318-22-315-000,New APN,2023-10-19,1.0
61245,1318-22-315-001,New APN,2023-10-19,1.0
61246,1318-22-315-002,New APN,2023-10-19,1.0
61247,1318-22-315-003,New APN,2023-10-19,1.0
61248,1318-22-315-004,New APN,2023-10-19,1.0
61249,1318-22-315-005,New APN,2023-10-19,1.0
61250,1318-22-315-006,New APN,2023-10-19,1.0
61251,1318-22-315-007,New APN,2023-10-19,1.0
61252,1318-22-315-008,New APN,2023-10-19,1.0
61253,1318-22-316-001,New APN,2023-10-19,1.0
61254,1318-22-316-005,New APN,2023-10-19,1.0
61255,1318-22-317-004,New APN,2023-10-19,1.0
61256,1318-22-317-008,New APN,2023-10-19,1.0
61257,1318-22-313-000,New APN,2023-10-19,1.0
61258,1318-22-313-002,New APN,2023-10-19,1.0
61259,1318-22-313-003,New APN,2023-10-19,1.0
61260,1318-22-313-004,New APN,2023-10-19,1.0
61261,1318-22-313-006,New APN,2023-10-19,1.0
61262,1318-22-313-007,New APN,2023-10-19,1.0
61263,1318-22-313-008,New APN,2023-10-19,1.0
61264,1318-22-314-000,New APN,2023-10-19,1.0
61265,1318-22-314-002,New APN,2023-10-19,1.0
61266,1318-22-314-003,New APN,2023-10-19,1.0
61267,1318-22-314-006,New APN,2023-10-19,1.0
61268,1318-22-314-007,New APN,2023-10-19,1.0
61269,1318-22-316-000,New APN,2023-10-19,1.0
61270,1318-22-316-002,New APN,2023-10-19,1.0
61271,1318-22-316-003,New APN,2023-10-19,1.0
61272,1318-22-316-004,New APN,2023-10-19,1.0
61273,1318-22-316-006,New APN,2023-10-19,1.0
61274,1318-22-316-007,New APN,2023-10-19,1.0
61275,1318-22-316-008,New APN,2023-10-19,1.0
61276,1318-22-317-000,New APN,2023-10-19,1.0
61277,1318-22-317-001,New APN,2023-10-19,1.0
61278,1318-22-317-002,New APN,2023-10-19,1.0
61279,1318-22-317-003,New APN,2023-10-19,1.0
61280,1318-22-317-005,New APN,2023-10-19,1.0
61281,1318-22-317-006,New APN,2023-10-19,1.0
61282,1318-22-317-007,New APN,2023-10-19,1.0
61283,1318-22-711-000,New APN,2023-10-19,1.0
61284,1318-22-711-001,New APN,2023-10-19,1.0
61285,1318-22-711-002,New APN,2023-10-19,1.0
61286,1318-22-711-003,New APN,2023-10-19,1.0
61287,1318-22-711-004,New APN,2023-10-19,1.0
61288,1318-22-711-005,New APN,2023-10-19,1.0
61289,1318-22-711-006,New APN,2023-10-19,1.0
61290,1318-22-711-007,New APN,2023-10-19,1.0
61291,1318-22-711-008,New APN,2023-10-19,1.0
61292,117-071-054,New APN,2023-10-19,1.0
61293,117-071-053,New APN,2023-10-19,1.0
61294,016-091-020,New APN,2023-10-19,1.0
