status,jurisdiction
issued,City of South Lake Tahoe
Current,Douglas County
pending,Douglas County
,El Dorado County
HHR Permit- Active,El Dorado County
HHR Permit- Approved for Payment,El Dorado County
HHR Permit- Closed,El Dorado County
HHR Permit- Complete,El Dorado County
HHR Permit- Submitted,El Dorado County
VHR Permit - Active,El Dorado County
VHR Permit- Approved for Payment,El Dorado County
VHR Permit- Closed,El Dorado County
VHR Permit- Complete,El Dorado County
VHR Permit- Incomplete,El Dorado County
VHR Permit- Revoked,El Dorado County
VHR Permit- Submitted,El Dorado County
VHR Permit- Suspended,El Dorado County
VHR Permit- Waitlist,El Dorado County
,Placer County
About to Expire,Washoe County
Active,Washoe County
