status,jurisdiction,status_simple
issued,City of South Lake Tahoe,Active
Current,Douglas County,Active
pending,Douglas County,Pending
,El Dorado County,Active
HHR Permit- Active,El Dorado County,Active
HHR Permit- Approved for Payment,El Dorado County,Active
HHR Permit- Closed,El Dorado County,Inactive
HHR Permit- Complete,El Dorado County,Active
HHR Permit- Submitted,El Dorado County,Pending
VHR Permit - Active,El Dorado County,Active
VHR Permit- Approved for Payment,El Dorado County,Active
VHR Permit- Closed,El Dorado County,Inactive
VHR Permit- Complete,El Dorado County,Active
VHR Permit- Incomplete,El Dorado County,Inactive
VHR Permit- Revoked,El Dorado County,Inactive
VHR Permit- Submitted,El Dorado County,Pending
VHR Permit- Suspended,El Dorado County,Inactive
VHR Permit- Waitlist,El Dorado County,Pending
,Placer County,Active
,Washoe County,Active
About to Expire,Washoe County,Active
Active,Washoe County,Active
